EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
0.048161708,0.025195545,0.029941194,0.0419196,3.6103418e-05,0.018247565,0.0035255183,0.04845655,0.024023596,0.064380825,0.022863045,0.000524092,0.018192861,0.002769697,0.011658117,0.00093195314,0.0058337273,0.04176212,0.016486773,0.052293144,0.019083513,0.0016367196,0.0027571586,0.008476824,0.006220203,-0.0046956707,-0.0023108919,0.008424845,0.008781903,0.047430165,0.053734347,0.008130126,0.003946935,0.015230507,0.0096734315,0.013414631,0.012017345,0.059041716,0.056799937,0.037982583,0.040920123,0.053613313,0.05400736,0.027210567,0.0040079732,0.004698394,0.005219792,0.01753388,0.020074686,0.045766566,0.050766245,3.4209166e-05,0.031938624,0.08731974,0.0042214063,-0.025426537,0.009087466,-0.0035658977,-0.025691591,0.009839211,-0.0019792358
0.056843176,0.02654469,0.028971812,0.048409186,0.00073366775,0.021216258,0.00017384067,0.056251682,0.025543764,0.0734044,0.021796396,0.0012415305,0.021295626,-0.000773313,0.015072221,0.0009036241,0.0075680446,0.055144705,0.02126889,0.065098315,0.021404391,0.0015863201,0.0025091246,0.0059108622,0.0029350151,-0.007765292,-0.005139007,0.009690244,0.010222228,0.05866038,0.06689459,0.009941455,0.005058447,0.013719476,0.007051193,0.013106506,0.011341202,0.07299685,0.07016626,0.04337766,0.046067726,0.060580287,0.060816843,0.03295753,0.0047539794,0.0050816573,0.004187222,0.019707724,0.022537617,0.04912,0.054195046,-1.1793396e-05,0.03815894,0.097904555,0.004960762,-0.03178285,0.00842683,-0.003738905,-0.03211197,0.00869206,-0.0023176642
0.059678607,0.027163554,0.025759604,0.05280619,0.0014157437,0.022478215,-0.0024430193,0.058664754,0.026232522,0.08005095,0.019279523,0.0018716429,0.022651566,-0.0036799922,0.016816549,0.0008633298,0.008642514,0.06254282,0.024391139,0.07322826,0.023556776,0.0016446771,0.0020937508,0.0045815147,0.00067533087,-0.009215141,-0.0063965614,0.010022584,0.010502608,0.06591707,0.07492045,0.010271953,0.0051297843,0.012090389,0.0052542603,0.0119980965,0.010230344,0.07947699,0.07630204,0.046041586,0.0483689,0.06326459,0.063746855,0.036696106,0.0050078495,0.0052188677,0.0036052847,0.021052916,0.024291936,0.051120892,0.056363992,-7.3529256e-05,0.042227272,0.10429183,0.004322282,-0.038230248,0.0076270066,-0.0037817515,-0.03837437,0.0077567236,-0.0024978295
0.060734168,0.027655829,0.02258673,0.05649709,0.0019865637,0.023051873,-0.0041265134,0.059533343,0.026780013,0.08573602,0.016753694,0.002447869,0.023285188,-0.005491954,0.017881766,0.000863852,0.009548145,0.06697655,0.026731333,0.07899928,0.025610074,0.0017449838,0.0018128796,0.004086324,-0.0005755788,-0.009913316,-0.0069031236,0.010348493,0.010792346,0.07089842,0.080424875,0.010363023,0.005063818,0.011047398,0.0041367766,0.01132172,0.0095887855,0.08353424,0.080044344,0.04790327,0.050018284,0.06503535,0.065770954,0.039519645,0.0051728673,0.0053722234,0.0033861613,0.022113241,0.025594998,0.05291046,0.0585567,-8.298032e-05,0.045272417,0.10913853,0.0034741187,-0.043935828,0.0072158286,-0.0038625656,-0.043999434,0.0072663813,-0.0026654832
0.061199293,0.028129889,0.019932179,0.059760034,0.0024189292,0.023355495,-0.005215981,0.05993884,0.027288433,0.09071866,0.0145701,0.0029174776,0.023621812,-0.0066099847,0.01865679,0.00089268695,0.01038069,0.06986838,0.028626433,0.08339033,0.027442748,0.0018465789,0.0016682753,0.0040979306,-0.0011133738,-0.010364056,-0.0071757077,0.01079405,0.01124309,0.07463352,0.08461382,0.010500312,0.0050399825,0.010423993,0.003397989,0.011083329,0.009356281,0.08666916,0.08288425,0.04946091,0.05147897,0.06662235,0.06754705,0.041876584,0.0053301835,0.0055360757,0.0033068846,0.023067039,0.026676029,0.05473648,0.06093636,-5.994673e-05,0.047719903,0.11324197,0.0027171518,-0.04878865,0.0070984527,-0.003983587,-0.048881352,0.0070688073,-0.002836037
0.06638838,0.035158314,0.03013458,0.05620095,0.0035514412,0.024913803,-0.004390954,0.066661604,0.034648634,0.0845729,0.023238713,0.0032467202,0.025674595,-0.006712576,0.010134615,0.00018212985,0.0070502264,0.030072711,0.025591612,0.045114756,0.029010497,0.0020617922,0.0021308274,0.008321546,0.00405554,-0.009709585,-0.005030778,0.009025564,0.009210162,0.054608345,0.060708694,0.012564832,0.004339534,0.022839751,0.011334411,0.015109388,0.013706268,0.029916422,0.026644994,0.022187265,0.02248184,0.076446265,0.07769497,0.036720246,0.0011853543,0.0015947901,0.003558137,0.024035465,0.02809816,0.058789752,0.06647953,-0.0010045969,0.052185442,0.11762868,0.0017619214,-0.04013884,0.0068168743,-0.0033936298,-0.040116318,0.0073358733,-0.0017060171
0.058771417,0.034236,0.03483005,0.05629474,0.0033651763,0.026303492,-0.0035069808,0.058786094,0.03412754,0.08444122,0.026423195,0.0034764924,0.027135188,-0.0052558603,0.0053905845,-0.00030975166,0.0043909764,0.014411191,0.024816139,0.026915599,0.029611345,0.0024574841,0.0027588895,0.011821767,0.0077281287,-0.009522403,-0.0037971265,0.00901922,0.009125265,0.04408719,0.04904326,0.015415929,0.005630087,0.0307728,0.01584352,0.01974444,0.018398799,0.0075227637,0.004198158,0.010024885,0.009955837,0.083887905,0.08479564,0.034237593,0.0003189206,0.00052840856,0.0053005437,0.025245897,0.028662078,0.06084162,0.07017232,-0.0010094121,0.055710867,0.12023388,0.0016199725,-0.037793316,0.005777049,-0.003557984,-0.038453147,0.006166254,-0.001592938
0.049937055,0.03158109,0.037099198,0.05749297,0.0026688688,0.027557213,-0.0017753602,0.049633276,0.031600755,0.085523054,0.027546944,0.0030784316,0.028320167,-0.0030043707,0.0028417893,-0.00053107814,0.0023495916,0.007758552,0.024088446,0.014522678,0.029710917,0.0026371041,0.0033144308,0.014135644,0.010523379,-0.009797275,-0.0034899497,0.009415116,0.009477713,0.0370648,0.04142077,0.017433431,0.0068272837,0.03601075,0.018951364,0.02336228,0.021982297,-0.0040748194,-0.0075282343,0.0024898164,0.0023416094,0.08777355,0.08834359,0.032201756,0.000121820485,0.00019162672,0.0070045525,0.02578381,0.028695412,0.060813446,0.07133642,-0.00097557675,0.058441095,0.12087545,0.0018972302,-0.037528224,0.004662713,-0.003446756,-0.03862509,0.004805975,-0.0015360211
0.043472372,0.029492872,0.03814127,0.0589846,0.0019018124,0.028579969,0.0005078465,0.042946532,0.029560432,0.08680479,0.02776478,0.0024570164,0.029217461,-0.00035399455,0.0014938926,-0.00058998057,0.000819165,0.0050309077,0.023332272,0.0052437577,0.029732382,0.0027402493,0.0037809303,0.015753746,0.0127297565,-0.0100471,-0.0034800298,0.00986171,0.009926112,0.031800017,0.03575784,0.018794442,0.0078050364,0.039423276,0.021164466,0.025989356,0.024568096,-0.010909008,-0.014463976,-0.0026947837,-0.0027711503,0.08929527,0.089556016,0.030283537,6.732915e-05,7.843308e-05,0.008516508,0.025815684,0.02847835,0.059590112,0.070990935,-0.0009429457,0.06068369,0.12029259,0.0021491977,-0.037995733,0.0041977554,-0.0031951414,-0.039317004,0.004131277,-0.0014388427
0.0383766,0.027607787,0.037982613,0.06041081,0.0013392149,0.029331405,0.0026646198,0.037641846,0.027693776,0.088097915,0.027146922,0.0019423489,0.029826332,0.0020540971,0.00084887166,-0.00058418774,-0.00029351353,0.0040123416,0.022519337,-0.0015378669,0.029474957,0.002828163,0.00413076,0.01690884,0.014399666,-0.010193694,-0.003521193,0.010179108,0.010280004,0.027910782,0.031622995,0.01969795,0.008517218,0.041492384,0.022647893,0.027788455,0.026325896,-0.014866104,-0.018434793,-0.0061340965,-0.006094642,0.08947683,0.089469574,0.02853362,6.8221125e-05,4.4725253e-05,0.009676739,0.02557744,0.028165255,0.05781318,0.069830514,-0.0008962617,0.06252431,0.1188422,0.0022425423,-0.03909847,0.0037622233,-0.0029732909,-0.040516242,0.0035591768,-0.0013792729
